id,date,class,percent,sentiment,text
0,2013-05-08T17:00:00,increase,0.65,Negative,thats big help Niagara Falls Power big deal need N Teslas help big money would dealt
1,2013-05-08T17:00:00,increase,0.65,Positive,Hottest stock around Tesla earnings afternoon Our tech reporter tweet numbers TSLA
2,2013-05-08T17:00:00,increase,0.65,Positive,Auto scene changing Seeing first time Tesla road amp mass market Jeep GC Hyundai Ford Focus amp Fusion hot Designrules
3,2013-05-08T17:00:00,increase,0.65,Positive,We spanish blog Nikola Tesla Please could help us RT
4,2013-05-08T17:00:00,increase,0.65,Positive,Hey I request song lunch hour Hang Tough Tesla Please 94 rock Thx guys
5,2013-05-08T17:00:00,increase,0.65,Negative,Waiting Teslas Q1 earnings announcement
6,2013-05-08T17:00:00,increase,0.65,Negative,I think miss sassy snapchat
7,2013-05-08T17:00:00,increase,0.65,Positive,ohh ur manager going ooo
8,2013-05-08T17:00:00,increase,0.65,Positive,I love Myka always goes real gun first tesla cases Definitely fits character well
9,2013-05-08T17:00:00,increase,0.65,Positive,Nicola Tesla copyright n trademark electricityD kind man world could better possible forms
10,2013-05-08T17:00:00,increase,0.65,Positive,Top go 2 lt3 songs Follow Through Every Rose Champagne High Love Song Tesla immasap
11,2013-05-08T17:00:00,increase,0.65,Positive,Its intense I break bull whips tesla coils xD
12,2013-05-08T17:00:00,increase,0.65,Positive,I dont think going help occasion ask perennial question What would Tesla
13,2013-05-08T17:00:00,increase,0.65,Positive,Illuminati controlled science Tesla went air ship building gotitdone
14,2013-05-08T17:00:00,increase,0.65,Positive,Tesla Model S lt My Dream Car
15,2013-05-08T17:00:00,increase,0.65,Negative,Teslas Musk talking Google autopilot cars Elon Musk chief executive officer Tesla Motors IncTesla Motors Inc Chief Ex
16,2013-05-08T17:00:00,increase,0.65,Positive,Scientist Nikola Teslas lab purchased science center tech
17,2013-05-08T17:00:00,increase,0.65,Positive,ahmedxenasut Scientist Nikola Teslas lab purchased science center
18,2013-05-08T17:00:00,increase,0.65,Positive,julaoncullor Scientist Nikola Teslas lab purchased science center
19,2013-05-08T17:00:00,increase,0.65,Positive,jeffaebrody Scientist Nikola Teslas lab purchased science center
20,2013-05-08T17:00:00,increase,0.65,Positive,I want Picture taken tesla
21,2013-05-08T17:00:00,increase,0.65,Positive,The man wrote time travel best friends Tesla I use time travel book reasons
22,2013-05-08T17:00:00,increase,0.65,Positive,Saw tesla roaming around neighborhood today westlake
23,2013-05-08T17:00:00,increase,0.65,Negative,Nikola Tesla died virgin another one historys finest
24,2013-05-08T17:00:00,increase,0.65,Positive,The Tesla electric car Googles selfdriving car D
25,2013-05-08T17:00:00,increase,0.65,Positive,RT Aww Tesla lookin nigga
26,2013-05-08T17:00:00,increase,0.65,Positive,Group The Oatmeal Raised Money For Successfully Purchases Nikola Teslas Lab
27,2013-05-08T17:00:00,increase,0.65,Positive,All Tesla earnings statement Sweet
28,2013-05-08T17:00:00,increase,0.65,Negative,Bout remind dirty laundry TrustIssues
29,2013-05-08T17:00:00,increase,0.65,Positive,From FampS saying approach new niche brands like BMW Tesla
30,2013-05-08T17:00:00,increase,0.65,Positive,Just spotted black Tesla Model S 5th Street downtown Cincy Who owns know
31,2013-05-08T17:00:00,increase,0.65,Positive,Just saw 77000 electric car Starbucks Tesla
32,2013-05-08T17:00:00,increase,0.65,Positive,I worked tesla I knew media spin company u think making money
33,2013-05-08T17:00:00,increase,0.65,Positive,Saw Tesla Roadster Btown yesterday nice looking expensive electric car
34,2013-05-08T17:00:00,increase,0.65,Positive,Filed EVPlugin Tesla MotorsOur friend Theophilus Chin thing creating Tesla vehicles cant Earlier
35,2013-05-08T17:00:00,increase,0.65,Positive,RT I saw 4 kids get Tesla Model S drop It modified two jump seats back seat 7 total
36,2013-05-08T17:00:00,increase,0.65,Positive,sdge energyshowcase What awesome morning Energy ShowcaseCheck Alt Fuel Vehiclestesla
37,2013-05-08T17:00:00,increase,0.65,Positive,I saw 4 kids get Tesla Model S drop It modified two jump seats back seat 7 total
38,2013-05-08T17:00:00,increase,0.65,Positive,Tesla CEO Talking With Google About ‘ Autopilot ’ Systems
39,2013-05-08T17:00:00,increase,0.65,Negative,When comes wireless power Wtf since Nikola Tesla died
40,2013-05-08T17:00:00,increase,0.65,Positive,thank Nikola Tesla electricity shot hands
41,2013-05-08T17:00:00,increase,0.65,Positive,Tesla technology anathema oil companies guess sat time
42,2013-05-08T17:00:00,increase,0.65,Negative,oh u didnt know Ive making BMS battery packs conversions 2008 I worked tesla
43,2013-05-08T17:00:00,increase,0.65,Positive,RT Thx Shout Out …
44,2013-05-08T17:00:00,increase,0.65,Positive,LOL I make ev worked tesla I love evs u miss understand Im talking
45,2013-05-08T17:00:00,increase,0.65,Positive,strange tesla released day roadster would 65 5 years ev
46,2013-05-08T17:00:00,increase,0.65,Positive,RT Theres Alternate Reality Rothschild Family Replaced Nikola Teslas Ponder wed
47,2013-05-08T17:00:00,increase,0.65,Positive,making tons fake money betting Tesla motors short squeeze
48,2013-05-08T17:00:00,increase,0.65,Positive,interested tesla
49,2013-05-08T17:00:00,increase,0.65,Positive,Thx Shout Out
50,2013-05-08T17:00:00,increase,0.65,Positive,TSLA Possible pullback buytherumorsellthenews type phenomenon ifwhen Tesla reports Q1 profit
51,2013-05-08T17:00:00,increase,0.65,Positive,LOOK data sheet Panasonic cell tesla use
52,2013-05-08T17:00:00,increase,0.65,Negative,RT Faculty news Delivery 94 Tesla MRI scanner finishing touch Brains Unlimited Scanner Lab The first tw
53,2013-05-08T17:00:00,increase,0.65,Positive,Stocks Watch AOL Tesla Wednesday ’ stocks watch stocks
54,2013-05-08T17:00:00,increase,0.65,Positive,Tesla CEO talking Google autopilot systems public ready
55,2013-05-08T17:00:00,increase,0.65,Negative,loss leaving car unpluged overnight consume loads ev pumping coolant around crap cells tesla
56,2013-05-08T17:00:00,increase,0.65,Positive,If someone wanted buy tesla Id okay
57,2013-05-08T17:00:00,increase,0.65,Positive,RT RT At COS lab Tesla produced artificial lightning Thunder released energy heard Cripple Creek
58,2013-05-08T17:00:00,increase,0.65,Negative,The 1912 Titanic sinking lost Tesla many investors friends imagine would changed world
59,2013-05-08T17:00:00,increase,0.65,Positive,Making announcements every year till 1940 Tesla quite busy Perhaps raided Jan 1943 work locked FBI
60,2013-05-08T17:00:00,increase,0.65,Negative,Edison fought Teslas idea money reasonsWestinghouse partnered wTesla took patentsBut much involved
61,2013-05-08T17:00:00,increase,0.65,Positive,In 1914 Tesla sold technology Germany may non disclosure secret development contracts
62,2013-05-08T17:00:00,increase,0.65,Positive,Tesla said 1915 ship went 300 miles per second By 1919 350 miles per hour published also true
63,2013-05-08T17:00:00,increase,0.65,Positive,By time Tesla Tower 1917 Tesla already provided internal power ship turbine
64,2013-05-08T17:00:00,increase,0.65,Negative,Edison played The GAME Unfortunately Tesla didnt
65,2013-05-08T17:00:00,increase,0.65,Positive,RT I think Brooklyn Babylon actually secret collaboration Thad Jones …
66,2013-05-08T17:00:00,increase,0.65,Negative,“ Life ever remain equation incapable solution contains certain known factors ” Nikola Tesla 1937
67,2013-05-08T17:00:00,increase,0.65,Positive,NY group buys Tesla property plans science center 7
68,2013-05-08T17:00:00,increase,0.65,Positive,For Tesla Motors TSLA GradientAnalystics 12 page negative piece Co gtgt Does anyone access Tia
69,2013-05-08T17:00:00,increase,0.65,Positive,know rearrange change letters teslas name get satan
70,2013-05-08T17:00:00,increase,0.65,Positive,Aww Tesla lookin nigga
71,2013-05-08T17:00:00,increase,0.65,Positive,I achieved stage 2 Tesla Man achievement FoundHD BigFishGames ElephantGames iPadGames
72,2013-05-08T17:00:00,increase,0.65,Positive,Dallas show HOB announcedcant wait till June ✌✌✌teslafantillidie
73,2013-05-08T17:00:00,increase,0.65,Positive,Is possible find many new Tesla Model S EVs registered California April 2013 Or EVReply
74,2013-05-08T17:00:00,increase,0.65,Positive,Any thoughts regarding Tesla TSLA investment opportunity Thinking upping stake Amazon AMZN Hmm
75,2013-05-08T17:00:00,increase,0.65,Positive,Gross Margins And Model S Sales Will Drive Tesla Results
76,2013-05-08T17:00:00,increase,0.65,Positive,One must sane think clearly one think deeply quite insane — Nikola Tesla
77,2013-05-08T17:00:00,increase,0.65,Positive,welcome Tesla
78,2013-05-08T17:00:00,increase,0.65,Positive,Stocks Watch AOL Tesla Wednesday ’ stocks watch
79,2013-05-08T17:00:00,increase,0.65,Positive,RT Tesla priority electrification cars priority Model S Model X mass market third gen vehicle amp truck
80,2013-05-08T17:00:00,increase,0.65,Positive,Which Leafs AZTXCA still 100 capacity Sorry Tesla fired please stop trolling
81,2013-05-08T17:00:00,increase,0.65,Positive,Tesla stock may bumpy ride today come earnings afternoon game changer
82,2013-05-08T17:00:00,increase,0.65,Positive,Stocks Watch AOL Tesla Wednesday ’ stocks watch
83,2013-05-08T17:00:00,increase,0.65,Positive,One must sane think clearly one think deeply quite insane Nikola Tesla
84,2013-05-08T17:00:00,increase,0.65,Negative,Elon Musk Autopilot Tesla Cars Is Still A Few Years Away via
85,2013-05-08T17:00:00,increase,0.65,Positive,“ If want find secrets universe think terms energy frequency vibration ” ― Nikola Tesla
86,2013-05-08T17:00:00,increase,0.65,Positive,Hi Elon Any chance Tesla ever available South Africa
87,2013-05-08T17:00:00,increase,0.65,Negative,My heart sinks whenever Im reminded Nikola Tesla died aloneI wouldve loved groupieWhat I would give company
88,2013-05-08T17:00:00,increase,0.65,Positive,Subscription business model cars Tesla
89,2013-05-08T17:00:00,increase,0.65,Positive,RT I think Brooklyn Babylon actually secret collaboration Thad Jones …
90,2013-05-08T17:00:00,increase,0.65,Positive,Lets follow kazoo march Sir Alex Goodbye Yellow Brick Road tesla coils send Canucks another spring
91,2013-05-08T17:00:00,increase,0.65,Positive,We need pay attention NC Senate Bill 327 introducedprohibit North Carolinians purchasing electric vehicles Tesla
92,2013-05-08T17:00:00,increase,0.65,Positive,Northern Ireland hosting years G8 summit Tesla Motors turned profit first time
93,2013-05-08T17:00:00,increase,0.65,Positive,Tesla car front 😍😍
