id,date,class,percent,text
0,2016-05-18T17:00:00,increase,0.12,"@Brandondodson30 @StevStiffler okay bet, or Walmart! They have a pretty good variety"
1,2016-05-18T17:00:00,increase,0.12,This Lady Dropped $40 💸 In Walmart Parking Lot So I Did The Right Thing &amp; Called 📱 The WeedMan For Another 3.5 😂😂😂😂💯💯💯💯💯 #RP 😂😂😂😂
2,2016-05-18T17:00:00,increase,0.12,"@ErbanLady You can find us at Ulta, Walmart, Amazon, and various local retailers! Hope you try one soon! :)"
3,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
4,2016-05-18T17:00:00,increase,0.12,RT @jljacobson: .@MorningEdition PLEASE do more thn rpt wht “business owners” say abt overtime pay? Who R they? Walmart? McDonalds? How muc…
5,2016-05-18T17:00:00,increase,0.12,@1_keezy because now there is a curfew on the movies because all they did was fight at Tinseltown and go to walmart and steal sooo😐
6,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
7,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
8,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
9,2016-05-18T17:00:00,increase,0.12,With great sadness I can officially report that my 6 dollar watch from the Jeff City Walmart has finally given out after 1 year of use #RIP
10,2016-05-18T17:00:00,increase,0.12,Ran out of Capri-suns in the fridge!and my son cried so looks like I'm going to Walmart! #storerun #busymom #lovemykids 🍹🍹🍹🍹😝😝🌴🌴
11,2016-05-18T17:00:00,increase,0.12,@TWYHband That's only if they're standing in the brush or the shopping aisle at Walmart.
12,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
13,2016-05-18T17:00:00,increase,0.12,Was in Walmart buying stuff for Nicaragua and a sweet old lady offered to buy my things for me and told me she'd pray for me brb cryin 😭
14,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
15,2016-05-18T17:00:00,increase,0.12,@Mike_Ryan80 I only go to one place. How fucking dare you even THINK I would shop at shitty Walmart for fish.
16,2016-05-18T17:00:00,increase,0.12,"Sitting on the phone w my cousin, while I wait on my food. And she talking to EVERYBODY in Walmart 🙄🙄🙄🙄🙄"
17,2016-05-18T17:00:00,increase,0.12,@walmart is it your standard practice to provide substandard customer service all of time or intermittently to avoid scrutiny from USSCoCST?
18,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
19,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
20,2016-05-18T17:00:00,increase,0.12,@SarahNassauer Are you aware of what is going on with @Walmart MoneyCard? 1000s of people have been unable to use their cards since Monday.
21,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
22,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
23,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
24,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
25,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
26,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
27,2016-05-18T17:00:00,increase,0.12,They left and went to Walmart with out me 😒
28,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
29,2016-05-18T17:00:00,increase,0.12,I'll Be A Walmart Walker 😹
30,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
31,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
32,2016-05-18T17:00:00,increase,0.12,RT @TheNardvark: Walmart stopped selling hoverboards due to safety concerns. In case you were curious about those empty shelves between the…
33,2016-05-18T17:00:00,increase,0.12,We're about to kickoff our May luncheon with Kris Russell from @Walmart's Public Affairs Division. #MeasuringCommunications
34,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
35,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
36,2016-05-18T17:00:00,increase,0.12,"$TGT I called it right I played it wrong, that this bounce would take all day but did not remember Walmart reports tomorrow AM, so back up"
37,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
38,2016-05-18T17:00:00,increase,0.12,@JohnLegere @amazon I thought it was called Walmart?
39,2016-05-18T17:00:00,increase,0.12,Don't Miss It: Click It or Ticket Kickoff is this Friday at the Perrysburg Walmart Parking Lot from 4:30-7:00
40,2016-05-18T17:00:00,increase,0.12,Don't Miss It: Click It or Ticket Kickoff is this Friday at the Perrysburg Walmart Parking Lot from 4:30-7:00
41,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
42,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
43,2016-05-18T17:00:00,increase,0.12,RT @Fredo_InDaCut: This lady dropped $40 in Walmart parking lot so I did the right thing &amp; called the weedman for another eighth
44,2016-05-18T17:00:00,increase,0.12,RT @seanr1978: .@dallasrbaird already do. Haven't bought anything from @Walmart in over a decade.
