id,date,class,percent,text
0,2008-10-15T17:00:00,increase,0.15,At parent/teacher conf. Looking forward to finding out why my 10th grader was required to write a letter to the CEO of Exxon/Mobil.
1,2008-10-15T17:00:00,increase,0.15,"GM market cap 3.69B, Google Mkt Cap 119.8B, MSFT Mkt Cap 232.8B, Exxon Mobil Mkt Cap 379.6B"
2,2008-10-15T17:00:00,increase,0.15,"Then according to the nytimes: Exxon Mobil reported the best quarterly profit ever for a corporation on Thursday, beating its own record..."
3,2008-10-15T17:00:00,increase,0.15,"Ironic that companies like Exxon Mobil, Chevron & Boeing have posted decent results this year."
4,2008-10-15T17:00:00,increase,0.15,@planetmoney How bad is it? Exxon-Mobil has lost about 30% of its value since May. It's outperforming the market. I'll never retire.
5,2008-10-15T17:00:00,increase,0.15,How bad is it? Exxon-Mobil has lost about 30% of its value since May. It's outperforming the market. I'll never retire. Never. Ever.
6,2008-10-15T17:00:00,increase,0.15,In DC for meetings with Exxon Mobil on DIY Motor Oil Recycling
7,2008-10-15T17:00:00,increase,0.15,"Just saw gas for $2.99 - maybe Exxon Mobil will only make $8 million today, instead of $9 million"
8,2008-10-15T17:00:00,increase,0.15,"@chrisfullman I find it funny the article ripping on Obama's campaign was ""Presented by: Exxon Mobil"" coincidence? :-)"
9,2008-10-15T17:00:00,increase,0.15,"Anyone notice the CBS article on how much nicer mccain's people are was sponsored by EXXON_MOBIL? Gee, wonder why?"
10,2008-10-15T17:00:00,increase,0.15,"It's not that we are against helping businesses, but Exxon Mobil is already the richest company in the world. What more do they want?"
11,2008-10-15T17:00:00,increase,0.15,Will it hurt the $1287 of profit per second that Exxon Mobil earned last year? Help me understand how this is bad?
12,2008-10-15T17:00:00,increase,0.15,Oh nice -- Exxon Mobil Group  is the only stock on my list that's just barely up
13,2008-10-15T17:00:00,increase,0.15,"@elfling519 Maybe they'll start putting stuff in the gas so your car can become ""addicted"" to Exxon/Mobil/whatever..."
14,2008-10-15T17:00:00,increase,0.15,I find it funny that the next Prez Debate is sponsored by Exxon Mobil. Which co's sponsored the last two?
15,2008-10-15T17:00:00,increase,0.15,"I'm tired of all these politicians saying bad things about exxon-mobil. I've seen their commercials, they care about the environment."
16,2008-10-15T17:00:00,increase,0.15,Whoa calm down Exxon Mobil with all the after debate commercials!
17,2008-10-15T17:00:00,increase,0.15,Ugh. Exxon Mobil commercial trying to present themselves as concerned for the people. Ugh. Bite me.
18,2008-10-15T17:00:00,increase,0.15,What about a biden exxon mobil count?
19,2008-10-15T17:00:00,increase,0.15,After watching the VP debate I'm fairly certain that Exxon Mobil won't be voting for Joe Biden :-)
20,2008-10-15T17:00:00,increase,0.15,HA- first commercial after the debate on NBC? exxon-mobil.
21,2008-10-15T17:00:00,increase,0.15,"Being in marketing, I find it fascinating that Exxon-Mobil is the only company that's been mentioned tonight. That's -6 billion impressions!"
22,2008-10-15T17:00:00,increase,0.15,Exxon Mobil is getting some serious shout outs from both candidates at the VP Debate. Wonder if their gas sales will increase tomorrow?
