id,date,class,percent,text
0,2013-05-08T17:00:00,increase,0.65,@saucersource thats a big help if Niagara Falls Power was not such a big deal in need of N #Tesla's help big money would not have been dealt
1,2013-05-08T17:00:00,increase,0.65,Hottest stock around? Tesla out with earnings this afternoon. Our tech reporter @scottbudman will tweet out the numbers. $TSLA
2,2013-05-08T17:00:00,increase,0.65,"Auto scene is changing. Seeing for first time #Tesla on road &amp; in mass market #Jeep GC, #Hyundai, #Ford Focus &amp; Fusion are hot. #Designrules"
3,2013-05-08T17:00:00,increase,0.65,"@elonmusk We are a spanish blog about Nikola Tesla. Please, could you help us with a RT? :-)"
4,2013-05-08T17:00:00,increase,0.65,@94rock Hey can I request a song for the lunch hour. Hang Tough by Tesla. Please 94 rock. Thx guys
5,2013-05-08T17:00:00,increase,0.65,Waiting for Tesla's Q1 earnings announcement
6,2013-05-08T17:00:00,increase,0.65,@_summerkiser @Caylin_Michele @tesla_white @Rachellislegit I think you miss sassy snapchat!
7,2013-05-08T17:00:00,increase,0.65,@Nik0la__Tesla ohh ur manager is going ooo.
8,2013-05-08T17:00:00,increase,0.65,@iamkhalel I love Myka always goes for a real gun first over the tesla in most cases. Definitely fits her character well. :)
9,2013-05-08T17:00:00,increase,0.65,"what if Nicola Tesla had copyright n trademark of electricity?:D the kind of man he was, world could have been better in all possible forms"
10,2013-05-08T17:00:00,increase,0.65,"Top go 2 &lt;3 songs: Follow Through @GavinDeGraw. Every Rose @bretmichaels, Champagne High @SisterHazelBand , Love Song, Tesla.  #immasap"
11,2013-05-08T17:00:00,increase,0.65,@Chaosxsilencer @KontrolFreek It's not intense until I break out the bull whips and tesla coils. xD
12,2013-05-08T17:00:00,increase,0.65,@billt I don't think it's going to help on this occasion to ask the perennial question: What would Tesla do?
13,2013-05-08T17:00:00,increase,0.65,@saucersource the #Illuminati controlled science as #Tesla went on with his air ship building.  and #gotitdone
14,2013-05-08T17:00:00,increase,0.65,Tesla Model S &lt;-- My Dream Car
15,2013-05-08T17:00:00,increase,0.65,"Teslas Musk talking with Google on autopilot cars: Elon Musk, chief executive officer of Tesla Motors Inc.Tesla Motors Inc. Chief Ex..."
16,2013-05-08T17:00:00,increase,0.65,@hanfirman Scientist Nikola Tesla's lab purchased for science center  #tech
17,2013-05-08T17:00:00,increase,0.65,ahmedxenasut: Scientist Nikola Tesla's lab purchased for science center
18,2013-05-08T17:00:00,increase,0.65,julaoncullor: Scientist Nikola Tesla's lab purchased for science center
19,2013-05-08T17:00:00,increase,0.65,jeffaebrody: Scientist Nikola Tesla's lab purchased for science center
20,2013-05-08T17:00:00,increase,0.65,@JenniferFearing I want my Picture taken with tesla.
21,2013-05-08T17:00:00,increase,0.65,@ReyaAmenti The man wrote about time travel and he was best friends with Tesla. I use him in my time travel book for these reasons.
22,2013-05-08T17:00:00,increase,0.65,Saw the tesla roaming around my neighborhood today. #westlake
23,2013-05-08T17:00:00,increase,0.65,@Abubottabing Nikola Tesla died a virgin too and he was another one of history's finest
24,2013-05-08T17:00:00,increase,0.65,The Tesla electric car. Google's self-driving car  =D
25,2013-05-08T17:00:00,increase,0.65,RT @JustBrittney23: Aww Tesla was lookin for a nigga..
26,2013-05-08T17:00:00,increase,0.65,Group The Oatmeal Raised Money For Successfully Purchases Nikola Tesla's Lab
27,2013-05-08T17:00:00,increase,0.65,@dqydj_net @financialuproar All this from #Tesla earnings statement? Sweet.
28,2013-05-08T17:00:00,increase,0.65,Bout to remind @Jay_Tesla of all his dirty laundry #TrustIssues
29,2013-05-08T17:00:00,increase,0.65,"@specialistcars1 @KDEWMG From what F&amp;S were saying, this approach will only be with new niche brands like BMW i and Tesla"
30,2013-05-08T17:00:00,increase,0.65,"Just spotted a black Tesla Model S on 5th Street, downtown Cincy! Who owns this?! @5chw4r7z do you know?"
31,2013-05-08T17:00:00,increase,0.65,"Just saw a $77,000 electric car at Starbucks. #Tesla"
32,2013-05-08T17:00:00,increase,0.65,@Flaninacupboard until I worked for tesla all I knew was the media spin they are not the company u think they are its about making money
33,2013-05-08T17:00:00,increase,0.65,"Saw a Tesla Roadster in Btown yesterday, nice looking (if expensive) electric car."
34,2013-05-08T17:00:00,increase,0.65,"Filed under: EV/Plug-in, Tesla MotorsOur friend Theophilus Chin has a thing for creating Tesla vehicles that we can't have. Earlier ..."
