id,date,class,percent,text
0,2017-02-14T17:00:00,increase,0.14,#news #Gavi and Unilever to tackle preventable diseases and save children’s lives (Unilever NV) #business #fdlx
1,2008-10-01T17:00:00,decrease,-0.13,Starbucks Coffee Co. signed an exclusive licensing agreement with Unilever NV to make and distribute Starbucks ice cream in the U.S. and Ca
2,2013-08-27T17:00:00,neutral,0.01,08/27/2013 09:32 AM ; Unilever NV - New York ; New York Stock Exchange Open: 38.63 USD ; Change: USD -0.5/-1.28%;
3,2013-08-27T17:00:00,neutral,0.01,08/26/2013 04:04 PM ; Unilever NV - New York ; New York Stock Exchange Close : 39.13 USD ; Change : USD -0.13/-0.33% ; Volume : 965736 ;
4,2013-08-27T17:00:00,neutral,0.01,08/26/2013 09:30 AM ; Unilever NV - New York ; New York Stock Exchange Open: 39.27 USD ; Change: USD 0.01/0.03%;
5,2013-08-27T17:00:00,neutral,0.01,08/23/2013 04:02 PM ; Unilever NV - New York ; New York Stock Exchange Close : 39.26 USD ; Change : USD 0.43/1.11% ; Volume : 981136 ;
6,2013-08-27T17:00:00,neutral,0.01,08/23/2013 09:30 AM ; Unilever NV - New York ; New York Stock Exchange Open: 38.98 USD ; Change: USD 0.15/0.39%;
7,2013-08-27T17:00:00,neutral,0.01,08/22/2013 04:02 PM ; Unilever NV - New York ; New York Stock Exchange Close : 38.83 USD ; Change : USD 0.06/0.15% ; Volume : 1523200 ;
8,2013-08-27T17:00:00,neutral,0.01,08/22/2013 09:30 AM ; Unilever NV - New York ; New York Stock Exchange Open: 38.7 USD ; Change: USD -0.07/-0.18%;
9,2013-08-27T17:00:00,neutral,0.01,RT @D1o1d1o: 08/21/2013 04:02 PM ; Unilever NV - New York ; New York Stock Exchange Close : 38.77 USD ; Change : USD -0.56/-1.42% ; Volume …
10,2013-08-27T17:00:00,neutral,0.01,08/21/2013 04:02 PM ; Unilever NV - New York ; New York Stock Exchange Close : 38.77 USD ; Change : USD -0.56/-1.42% ; Volume : 1237897 ;
